"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 3 filas 36 módulos puerta ciego IP40","139.28","PRAGMASUP36 MIP10312"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 2 filas 24 módulos puerta ciego IP40","87.47","PRAGMASUP24 MIP10212"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 12 módulos puerta ciego IP40","58.17","PRAGMASUP12 MIP10112"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 4 módulos puerta ciego IP40","36.56","PRAGMASUP4 MIP10104"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 6 módulos puerta ciego IP40","43.28","PRAGMASUP6 MIP10106"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 18 módulos puerta ciego IP40","83.07","PRAGMASUP18 MIP10118"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 4 filas 96 módulos puerta ciega IP40","1073.26","PRAGMA96 LVSXG424"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 8 módulos puerta ciego IP40","35.45","PRAGMAEMP8 MIP20108"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 3 filas 36 módulos puerta ciego IP40","119.85","PRAGMAEMP36 MIP20312"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 2 filas 48 módulos puerta ciega IP40","750.48","PRAGMA48 LVSXG224"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 2 filas 36 módulos puerta ciega IP40","212.08","PRAGMA36 LVSXE218"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 4 filas 72 módulos puerta ciega","550.53","PRAGMA72 LVSXE418"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 2 filas 24 módulos puerta ciego IP40","75.23","PRAGMAEMP24 MIP20212"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 6 módulos puerta ciego IP40","29.49","PRAGMAEMP6 MIP20106"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 4 módulos puerta ciego IP40","21.64","PRAGMAEMP4 MIP20104"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 12 módulos puerta ciego IP40","50.02","PRAGMAEMP12 MIP20112"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 3 filas 54 módulos puerta ciega IP40","292.01","PRAGMA54 LVSXE318"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 18 módulos puerta ciego IP40","71.46","PRAGMAEMP18 MIP20118"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 3 filas 36 módulos puerta ciego IP40","122.0","GOLFSUP36M3FILAS VS312PE"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 1 fila 18 módulos puerta ciego IP40","75.6","GOLFSUP18 VS118PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 1 fila 12 módulos puerta ciego IP40","43.5","GOLFSUP12 VS112PEB"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 4 filas 72 módulos puerta ciego IP40","319.8","GOLFSUP72 VS418PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 3 filas 54 módulos puerta ciego IP40","184.75","GOLFSUP54M3FILAS VS318PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 4 filas 48 módulos puerta ciego IP40","170.95","GOLFSUP48 VS412PE"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 2 filas 36 módulos puerta ciego IP40","134.35","GOLFSUP36M2FILAS VS218PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 2 filas 24 módulos puerta ciego IP40","78.85","GOLFSUP24 VS212PE"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VF empotrable 3 filas 36 módulos puerta ciego IP40","109.1","GOLFEMP36M3FILAS VF312PE"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 4 filas 72 módulos puerta ciego IP40","299.65","GOLFEMP72 VF418PES"
"Cuadros / Hager / Empotrar","Cuadro de automáticos Hager Golf VU empotrable 5 filas 60 módulos con tapa opaca","269.65","GOLFEMP60M VU60EP"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 1 fila 12 módulos puerta ciego IP40","38.15","GOLFEMP12 VF112PEB"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 2 filas 36 módulos puerta ciego IP40","117.45","GOLFEMP36M2FILAS VF218PES"
