"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Mecanismos / Legrand / Plexo","Tapa para mecanismos Legrand Plexo para placa ciega gris estanco (IP55)","11.91","PLEXOCIEGA 069537"
"Mecanismos / BJC / Iris","Tapa para mecanismos BJC Iris para antena de televisión blanco","6.68","IRISTV 18320"
"Mecanismos / BJC / Iris","Tapa para mecanismos BJC Iris para placa ciega blanco","8.94","IRISCIEGA 18033"
"Mecanismos / BJC / Rehabitat","Tapa para mecanismos BJC Sol para cazoleta tapa enchufe blanco","2.12","REHABTAPAEN16 16724"
"Mecanismos / BJC / Rehabitat","Tapa para mecanismos BJC Sol estrecho para cazoleta tapa enchufe blanco","1.63","REHABTAPAEN10 16725"
"Telecom / Televisión / Antenas","Pie de mástil Televés","17.56","MENSULA 2404"
"Cajas / Acometida / Accesorios","Caja seccionamiento CTST2 con 1 entrada y 2 salidas 160x110x65mm","41.8","SECCIONADOR 0236083"
"Mecanismos / BJC / Rehabitat","Tapa para mecanismos BJC Sol estrecho para placa ciega blanco","4.05","REHABCIEGA 16033"
"Mecanismos / Schneider / New Unica","Tapa para mecanismos Schneider Electric New Unica para salida de cable blanco polar","7.18","UNICASALIDA NUSALIDA NU386218"
"Mecanismos / Schneider / D-Life","Tecla para mecanismos Schneider Electric D-Life tecla basculante doble sin impresión blanco ártico","5.99","DLTECLADOBLE MTN3400-6035"
"Telecom / Porteros","Terminal de vivienda para portero automático teléfono Golmar sistema 4+n blanco","19.5","GOLMARUNIVERSAL 11205510P"
"Mecanismos / Simon / Simon 31","Tapa para mecanismos Simon Serie 31 para placa ciega blanco","13.02","S31CIEGA  31800-30"
"Mecanismos / Simon / Simon 75","Tecla para mecanismos Simon Serie 75 tecla basculante doble sin impresión blanco nieve","5.29","S75TECLADOBLE 75026-30"
"Mecanismos / Simon / Simon 31","Tapa para mecanismos Simon Serie 31 para antena de televisión blanco","3.51","S31TAPATV 31097-60"
"Mecanismos / Simon / Simon 82","Tapa para mecanismos Simon Serie 82 para antena de televisión blanco nieve","5.8","S82TAPATV 82097-30"
"Mecanismos / Simon / Simon 82","Tapa para mecanismos Simon Serie 82 para cazoleta tapa enchufe blanco nieve","5.09","S82TAPAEN 82041-30"
"Mecanismos / Simon / Simon 82","Tapa para mecanismos Simon Serie 82 para placa ciega blanco nieve","9.71","S82CIEGA 82800-30"
"Mecanismos / Simon / Simon 75","Tapa para mecanismos Simon Serie 75 para cazoleta tapa enchufe blanco nieve","5.12","S75TAPAEN 75041-60"
"Cableado / Trenzado","Trenzado de cobre 2x16mm2","22.8","TREN2X16       "
"Mecanismos / BJC / Iris","Tecla para mecanismos BJC Iris tecla basculante doble sin impresión blanco","6.39","IRISTECLADOBLE 18709"
"Mecanismos / BJC / Iris","Tecla para mecanismos BJC Iris tecla basculante simple sin impresión blanco","4.34","IRISTECLA 18705"
"Mecanismos / Simon / Simon 27","Tapa para mecanismos Simon Serie 27 Play para placa ciega blanco","4.39","S27CIEGA 27800-35"
"Mecanismos / BJC / Rehabitat","Tecla 1 modulo para mecanismos BJC Sol tecla basculante simple sin impresión blanco","1.15","REHABTECLA1MOD 16705"
"Mecanismos / BJC / Rehabitat","Tecla 2 modulos para mecanismos BJC Sol tecla basculante simple sin impresión blanco","1.57","REHABTECLA2MOD 17705"
"Mecanismos / Simon / Simon 82","Tecla para mecanismos Simon Serie 82 tecla basculante simple sin impresión blanco nieve","4.81","S82TECLA 82010-30"
"Mecanismos / Simon / Simon 82","Tecla para mecanismos Simon Serie 82 tecla basculante doble sin impresión blanco nieve","6.23","S82TECLADOBLE 82026-30"
"Mecanismos / Simon / Simon 75","Tecla para mecanismos Simon Serie 75 tecla basculante simple sin impresión blanco nieve","3.56","S75TECLA 75010-30"
"Mecanismos / Simon / Simon 82","Toma de TF con tapa Simon 82","14.35","S82TF          "
"Mecanismos / Legrand / Plexo","Toma de antena mecanismo con tapa completa (una pieza) Legrand Plexo final gris","28.01","PLEXOTV 069558"
"Mecanismos / BJC / Iris","Toma de comunicación y datos BJC Iris/Coral 2x RJ45 8(4) categoria 6","36.33","IRISDOBLERJ45 18586-2"
"Telecom / Accesorios","Conector modular Legrand LCS hembra CAT6 UTP","7.61","RJ45LEGRAND 033181"
"Iluminación / Telerruptores","Telerruptor Dinuy 1NA 10A AC 230V","46.78","TELEDINUY TEUNI220"
"Telecom / Porteros","Terminal de vivienda para portero automático teléfono Fermax Loft Universal sistema 4+n blanco","29.0","FERMAXUNIVERSAL 3431"
"Telecom / Porteros","Teléfono TUN-002 universal 2 pulsadores portero electrónico","32.05","ALCADUNIVERSAL 9600011"
"Iluminación / Tiras LED / Nexia","Tira de LED 230V IP 65 15W metro","33.75","TIRALED23015W  "
